project,median monthly loc added or changed,median monthly contributors,median monthly commits,median monthly loc growth,median monthly % log growth,median yearly % loc growth
libdmtx,669,1,25,68,1.000403731,1.018727564
revelation,0,0,0,0,1,1.044807751
geos,409,2,14.5,202,1,1.206187586
werkzeug,100,2,9,27,1,1.04426241
pyyaml,0,0,0,0,1.002911261,1.046672706
xinc-continuous-integration-for-php,0,0,0,0,1.002058695,1.124120537
gnulib,2881,10,113.5,1727,1,1.005010366
Guake,1,1,1,0,1,1.019614446
opensub,0,0,0,0,1.007413286,1.154002193
rvm,2138,9,127,418,1,1.046621431
choqok,601,2,22,294,1,1.00350862
Gentoo-Sunrise,2511,25,135,252,1.029706297,1.088041674
simplejson,14,1,2,2,1.01361318,1.098223402
github,0,0,0,0,1.012281062,1.211710592
lambdabot,0,0,0,0,1,1.090668894
pinax,22,3,7.5,0,1,1
repoze,1025,3,30,523,1,1.00275522
ehcache-spring-annotations,0,0,0,0,1,1.046825842
coderepos,26207,19,252.5,6384,1.009210326,1.111649955
speex,0,0,0,0,1,1.29667841
vidalia,245,2,11.5,21,1.000626214,1.147478515
oprofile,83,2,7,23,1.000022124,1.083672069
kdenlive,4298,4,89.5,1215,1.001846656,1.179511782
phonegap,19088,7,66,1371,1.000587682,1.095456613
stendhal,7056,6,175,2263,1.025082811,1.34823256
quodlibet,508,2,18.5,169,1.089952341,2.221132898
coffeescript,7133,6,110,329,1.014450183,1.21148438
vncviewer,0,0,0,0,1.006945482,1.155426594
ninesixtygridsystem,0,0,0,0,1.014465066,1.112722077
struts2-jquery,2119,1,26.5,228,1,1.008237894
asm,58,1,4,22,1,1.13507378
jpcsp,5031,3,50,2628,1.006490789,1.455654618
swiftmailer,48,1,9,0,1.001581519,1.189107332
qgit,0,0,0,0,1.026433074,1.3909684
stepmania,0,0,0,0,1.000034386,1.005800509
pdfbox,1016,3,19.5,435,1.000151651,1.103726132
satchmo,733,3,38.5,200,1,1.000304575
notmuch,1387,8,56,480,1.006661408,1.083637192
sourcemage,471,7,25.5,64,1.003226476,1.060761526
ncmpc,32,1,4.5,1,1.020984188,1.729673288
gitg,126,1,5,0,1.001913167,1.042258334
devhelp,7,1,3,0,1,1.069233617
pentadactyl,877,3,44,46,1,1.132597929
conkeror,377,3,21,88,1,1.074210446
vpnc,0,0,0,0,1.002674462,1.268702092
fest,4363,2,26,1023,1.002739092,1.142183144
jsmpp,0,0,0,0,1,1.029053789
smw,1381,6,104.5,366,1.006801292,1.669056045
Shinken,8612,4,135,2124,1,1.014917811
phpldapadmin,0,0,0,0,1.018217893,1.219543147
sparse,18,1,2,4,1.025757145,1.948686025
VMPK,215,1,6,45,1,1.029803537
android-astrid,5314,3,77,1493,1.000853093,1.048896547
gvsig-desktop,2218,5,27.5,440,1.00130833,1.33669707
eclipse-scala-plugin,1993,4,42.5,330,1.030124107,2.029852653
reportlab,182,2,10.5,96,1.009549137,1.135396848
wicd,343,1.5,14.5,17,1.015883379,1.656355283
tiddlywiki,30895,6.5,134,982,1.000812074,1.021429141
kss,0,0,0,0,1.000736508,1.157899843
midori,1750,4,71,405,1.008124289,1.161025358
dotnetopenid,0,0,0,0,1,1.015253803
civicrm,26441,15,504.5,7167,1.008664741,1.05865655
shorewall,2261,1,106.5,693,1,1.000652027
jbehave,2085,2,55,768,1.015041657,1.251468278
emesene,2913,5,46,598,1.000965857,1.011266782
libtorrent,74,1,3,18,1.016464471,1.374474212
hedgewars,4356,5.5,114,870,1.021989289,1.578476029
oro,0,0,0,0,1.005356283,1.171298205
rubinius,38053,12,234.5,6378,1.018953346,1.434949773
svg-edit,685,2,13,54,1,1.000088871
tvbrowser,2144,3,43.5,971,1.010308538,1.812954211
ndoc,0,0,0,0,1.000921598,1.397483745
dolibarr,18881,4,487,1364,1.008111495,1.279534229
sqlalchemy-migrate,9,1,2,0,1,1
Macfusion,0,0,0,0,1.010198608,1.393322515
PPI-perl,32,1,2,3,1,1.053733146
asciidoc,68,1,7,7,1,1
jabref,594,3,19.5,251,1.000122775,1.02694438
picocontainer,9066,2,24.5,1648,1.000557787,1.107849008
duplicity,223,2,9.5,25,1.006209769,1.426190501
displaytag,0,0,0,0,1.016952156,1.723634568
nagvis,1528,1,87.5,179,1,1.023468047
akeeba,3539,1,61.5,1465,1,1.014287879
gnuaccounting,785,1,18,141,1.005866846,1.169722873
rdiff-backup,0,0,0,0,1.007901387,1.265439088
pugs,29186,19,390,2964,1.006303844,1.122381169
stripes,15,1,2,6,1,1.014432956
hippositetoolkit,5993,6,108,1514,1.014196355,1.704372725
ncmpcpp,189,1,13,55,1.001346048,1.11889228
epic,25,1,3,4,1.014970414,2.766447761
piwigo,34675,13.5,368,16977,1.003138195,1.177649612
typo3-flow,4159,6,121,1225,1.00082793,1.143254113
novacc,51400,48,548,2612,1.024212814,1.53498896
exherbo,14423,34,630,1442,1.005256806,1.079328358
filesync4eclipse,0,0,0,0,1.073147792,1.511865037
liquibase,1181,3,25.5,137,1.017529749,1.160041418
collectd,2091,6,66.5,635,1,1.001193576
fireboard,5272,1.5,102.5,1411,1.003621314,1.056272615
commons-email,0,0,0,0,1.011796113,1.268882867
StatSVN,0,0,0,0,1.012189169,6.133290042
sonata,181,1,11.5,0,1,1.051998585
phpundercontrol,0,1,4,0,1,1.006139711
premake,1639,1,27,488,1.000046729,1.142538255
backuppc,0,0,0,0,1,1.130131363
feh,180,1,12,19,1.001754942,1.104055634
opencms,27788,6,199,7542,1,1.080667972
backbonejs,1434,11,65,212,1.001756955,1.042975669
jdownloader,19546,10,205.5,5627,1.005984687,1.179487694
classpath,94,1.5,4,17,1.011126273,1.27221172
commons-pool,42,1,4,1,1.017756693,1.821301725
sdl_image,0,0,0,0,1.000425105,1.026493738
gnustep,17483,9,146,1869,1.000041859,1.007501054
ccache,55,1,9,2,1,1.009564554
xetex,7,1,3,0,1.001819,1.030172966
inetmessage,0,0,0,0,1,1.025479431
swingx,1486,2,27,420,1,0.991947278
yade,2404,4.5,42,340,1,1
watin,227,1,6.5,88,1.008407767,1.21479209
scplugin,38,1,6,1,1.00374054,1.040746785
eaccelerator,0,0,0,0,1.000318629,1.277513987
mapnik,2880,4,52.5,898,1,1.001568994
wings3d,1160,2,14.5,0,1,0.974547794
msn-pecan,21,1,2,0,1.003951259,1.131776195
libcurl,1330,7,71,616,1.002027483,1.10442898
anki,952,2,68.5,161,1,1.015928314
openrc,82,2,8,27,1.008705391,1.151954046
supybot,36,2,5,0,1.006052902,1.024212564
dtc,623,3,47,182,1.002254218,1.046920709
rack,984,5,55,200,1.000157473,1.006088259
swfdec,0,0,0,0,1.006655441,1.147445347
cscope,0,0,0,0,1.006536712,1.192103938
bioperl,3140,7,44.5,346,1,1.000121258
marble,5876,9,120,2068,1,1.015408758
mochikit,0,0,0,0,1.002858044,1.045612986
pida,818,2,28,0,1.014965921,1.280815828
aircrack-ng,139,2,9.5,52,1.000096862,1.006599716
egroupware,4136,5,291,1477,1,1.12021441
syslog-ng,974,2,32,309,1.001169864,1.118815221
mapbender,7661,6,131,2405,1.003160716,1.062801514
HAProxy,1272,3,34.5,386,1.006941368,1.162979132
Vienna,8,1,2,0,1.004976752,1.553810089
taskcoach,2548,2,26,791,1.007673599,1.161011026
ispconfig,5318,3,60,1554,1.000021559,1.233326866
znc,743,3,35,164,1.01753046,1.459488341
pcman,1439,2,26,515,1.005469918,1.147380044
workrave,619,1,21.5,128,1.004656794,1.085764578
awn,969,2,34,0,1.01320653,1.445460304
uClibc,941,7,37.5,307,1.002015839,1.054260832
paludis,6197,5,97,1349,1,1.006234617
musicbrainz-server,20550,6,209,1500,1.001230962,1.087848075
usbloader-gui,1536,2,20,277,1.013929156,1.144410919
ufraw,267,2,10,98,1.008550073,1.221551935
inspircd,505,3.5,37,4,1.00369529,1.203264692
wikka,109,1,13.5,11,1.005758006,1.098802264
eclipsetrader,36,1,2,0,1.000156452,1.04976187
commons-dbcp,1,1,1.5,0,1.000119932,1.121434831
freecol,3901,4,102,988,1.000447097,1.306954261
glob2,1,0.5,0.5,0,1,1.019804483
jifty,1034,6,60,295,1.011530934,1.351964788
grok,321,4.5,36,15,1.000633428,1.04678716
diaspora,12752,19,477,1027,1.010687514,1.139877786
openmetaverse,536,2,11.5,49,1.001119747,1.096856182
xfardic,0,0,0,0,1.026921705,1.138234901
koji,190,3,11,41,1.00074325,1.171632889
john-the-ripper,0,0,0,0,1,1
weechat,2581,2,42,1185,1.002154335,1.114222947
feedparser,7,1,1,0,1,1.030188208
libgcrypt,104,2,4,31,1.015954855,1.23420695
mcabber,16,1,3,4,1,1.011979221
dwarftherapist,0,0,0,0,1.000722477,1.073050924
bbdb,0,0,0,0,1.00158524,1.090943093
filehelpers,16,1,2,0,1,1.01677001
netty,4218,2,54,594,1,1.002039172
joe-editor,0,0,0,0,1.000167521,1.158710413
gsl,120,1,6,28,1.008220601,1.251811823
openarena,0,0,0,0,1,1.065667663
flamerobin,114,1,4,47,1.000288188,1.013618318
pfSense,14835,13,635,4955,1,1.001664951
zenoss,5867,11,108.5,1930,1.001858606,1.115311507
origo,1729,2,53,239,1.016731037,1.326943745
obs,5290,12,178,1380,1.000942817,1.820993494
docman,779,3,103,-407,1.003004931,1.577876221
getk2,637,2,60,166,1.014084985,1.221888497
dotclear,0,0,0,0,0.842754124,0.685458827
vanillaforums,3,1,1.5,0,1.005869765,1.18982274
htDig,0,0,0,0,1,1
qmmp,7566,2,48.5,2375,1.000029421,1.040410839
radiant,1291,5,34,0,1,1
xml-commons,0,0,0,0,1.024380569,1.536986292
javacc,0,0,0,0,1,1.092449799
zynaddsubfx,25,1,2,0,1,1.000432226
CuteFlow,0,0,0,0,1,1.008830564
ApacheFelix,14958,9,115,4751,1,1.01978022
warmux,1610,2.5,45.5,182,1,1.369940085
dspam,10,1,3,0,1.011473823,1.308553195
nifty-gui,4801,1,59,1270,1.006070864,1.282509199
nasm,217,2,12,31,1,1.004152807
coreboot,8546,14,74,3636,1.006750965,1.502176743
nfs,0,0,0,0,1.000168479,1.032569589
SHR,1405,5,56.5,115,1.009318204,1.340266035
kstars,1156,5,34.5,113,1,1.000139687
mldonkey,2,1,1,0,1.001221186,1.13028643
sdl_mixer,0,0,0,0,1.001648774,1.183639968
ettercap,0,0,0,0,1.000020441,1.000977558
primefaces,6401,2,160,1444,1,1.008886491
buddypress,1836,3,145,423,1,1.001189061
powerdns,220,1,16.5,142,1.010187789,1.723095091
EasyCreator,1923,1,31.5,354,1.010359904,1.252795463
qooxdoo,20092,14.5,454.5,6752,1.001238954,1.110010537
quartznet,297,1,9,46,1.00290431,1.075242276
fractal,3595,3,31.5,663,1.007681105,1.416370344
tryton,5208,5,190,2002,1.001067711,0.974911044
pyopengl,248,1,6,80,1.001146655,1.244747114
jersey,6936,5,72.5,2924,1.012053409,1.101468495
openscada,2421,2,27,736,1.000080599,1.046778445
abcl,1071,3,35,303,1.026505128,1.590432544
xinetd,0,0,0,0,1.008458904,1.155198318
teeworlds,967,3,27.5,105,1.003554708,1.072481226
scikit-learn,64534,19,319.5,4384,1,1
pyglet,112,1,6,9,1.002993429,1.069368344
processhacker,15779,2,93,3695,1.031272466,1.926872326
jabberd2,31,1,4,11,1.000058197,1.006970102
cargo,1103,2,32,473,1.007750034,1.486059757
socat,0,0,0,0,1.000330193,1.016391968
cfengine,3081,2,91.5,817,1.00799214,1.137021144
waf,872,3,56,496,1,1.011569183
izpack,6769,3.5,44.5,1016,1.009630163,1.119702423
MicroB,681,3,11,273,1.005646331,1.157019295
Spark,139,1,5,74,1.00105435,1.194530015
mrtg,1,1,1,0,1.003213253,1.008177455
xtext,155902,7,291,30624,1.001214007,1.120593594
eyeos,4393,1,8.5,2,1,1.000674309
gwt-ext,0,0,0,0,1.041580634,2.246640697
sequel-pro,7078,4,53,1639,1.000002465,2.139601337
cassandra,12696,5,179,2059,1,1
org-mode,4368,11.5,180.5,1116,1.012297724,1.057440547
guile,4313,5,105.5,428,1.024281858,1.300270835
tellico,678,1,19.5,219,1.015676774,1.25890989
hugs,0,0,0,0,1.002713212,1.035608998
system_data_sqlite,0,0,0,0,1.000671569,1.083629778
eraser,28,1,5,4,1,1
Subsonic,0,0,0,0,1,1.124229562
hydrogen,2000,2.5,26.5,45,1.000041538,1.060075063
gforge,158,2,27,-10,1,1.004946834
grafx2,874,2,21.5,214,1.000450183,1.06534162
mahara,7875,7,225.5,779,1.007143691,1.315875184
nclass,0,0,0,0,1.000131445,0.991074531
svnkit,2920,3,51.5,1241,1.002904429,1.056093049
cmsmadesimple,2489,5,242.5,279,1.003228243,1.173699235
spree,10602,10,162,577,1,1.019517449
osg,4533,1,84.5,1861,1.009708233,1.168980191
chicken,2116,3,46.5,256,1.001725428,1.139486815
bluefish,1616,3,52.5,509,1.008542445,1.091924862
util-linux-ng,2486,8,64.5,626,1.008415342,1.139070016
jgit,3526,9.5,52,1491,1.00157809,1.014198855
fluidsynth,152,1,6,9,1.001277941,1.042037278
luxrender,22187,8.5,143,3194,1.005142346,1.083073197
google-collections,0,0,0,0,1.013723285,1.23877212
PeerGuardian,0,0,0,0,1,1.043890584
pyside,2126,5,70,488,1.012484954,1.173684692
ac3filter,0,0,0,0,1,1
devkitpro,1318,3,37.5,321,1,1
texniccenter,0,0,0,0,1.001661199,1.17095257
sympy,9818,12,124,2318,1,1
jvcl,1194,3,24,129,1.002140702,1.095333717
jogl,6804,2,104,1604,1,1.002297373
dotclear2,2858,4,41,258,1.013980879,1.274064825
anjuta,7984,7,71,454,1.000293743,1.003066387
gammu,703,1,54.5,131,1.0041981,1.194507806
gitorious,1056,3,34,267,1.002390459,1.089406653
xmoto,1085,1,14,332,1.002538885,1.05334937
web2py,6127,2,146,1546,1.002611364,1.064843867
windowmaker,34,1,4,0,1.001035412,1.045620089
i3geo,6211,1,188,2381,1.000585022,1.422932243
gnash,11902,6,271.5,211,1.013973426,1.140055215
exist,16278,10,133.5,4354,1,1.002523262
SubtextProject,321,1,8.5,0,1.015618773,1.229123375
lilypond,3270,14,99,437,1.005683205,1.135080731
conemu-maximus5,8831,1,24.5,4096,1.013860021,1.270798645
taoframework,0,0,0,0,1.000250648,1.070402421
pentaho,108,2.5,3.5,18,1.000742883,1.011683539
jbossportal,4830,7,96,1386,1.028869688,1.600700245
gramps,8538,9.5,111.5,1145,1,1
ode,213,1,6,13,1.001648205,1.21165198
sqlyog,1795,1,7,481,1.007162969,1.770200617
mambo,0,0,0,0,1.006908134,1.093750936
coppermine,15938,4,127.5,5063,1.000193087,1.07091306
NServiceBus,9977,6,69,1695,1.003741738,1.10294296
pnotepad,876,1,15,165,1,1
cvsnt,3221,2,37,1357,1.01082564,1.372771718
sylpheed,152,1,8.5,88,1.004754713,1.198290045
libphobos,6054,6.5,76,1018,1.002322312,1.175621935
erp5,129872,20,423,23229,1.000846789,1.443751745
eiffelstudio,27377,8,260,10147,1.00165656,1.032390597
sdcc,6481,4,43,1269,1.006640962,1.099373795
system-config-printer,8298,2,91.5,115,1.005723186,1.173778629
sakai,13926,21.5,344,4503,1.003274442,1.122665059
Open_ACS,0,1,1,0,1.001584796,1.055328253
dashcommerce,2277,2,19.5,251,1.001373429,1.0306602
bigbluebutton,14358,5,188,1192,1.004269295,1.082589439
RSSOwl,54,1,3.5,22,1,1.000195265
wodim,0,0,0,0,1.001854655,1.124497358
virtualdubmod,0,0,0,0,1.004918068,1.000583099
claroline,5088,4.5,112,1746,1.000341838,1.102658587
lutece,31534,13,431,12782,1,1
ldc,3544,3,55.5,706,1,1.000981008
gdc,4221,2,23.5,16,1.00730169,1.188664715
akelos,108,1,10,18,1.011900688,1.138968302
springrts,16623,8,242.5,1620,1.00179524,1.071831877
kettle,12879,9,78.5,8368,1.000188121,1.055895722
ultravnc,477,1,8.5,140,1.000193401,1.012141866
GraphicsMagick,4164,2,50.5,677,1.006371484,1.097866448
ajdt,1241,1,13,510,1.015668626,1.195461095
scorched3d,125,1,3.5,36,1.000433208,1.113976629
zikula,32058,9,291,1137,1.001214898,1.019716591
jts-topo-suite,474,1,20,259,1.001999039,1.039974907
iolanguage,2266,3,19,1,1.00108657,1.093529593
shareaza,3354,2,42.5,496,1.005888421,1.309759529
mathnet,4595,2,27,285,1.001520486,1.039481308
ccl,1520,4,46,634,1.000002344,1.062284977
Centreon,11532,5.5,266,2574,1.002315124,1.118608538
dnn,14646,1,31.5,1923,1.000676655,0.923720731
IrrlichtEngine,1825,3,33.5,686,1.002257221,1.099573509
cfeclipse,0,0,0,0,1.007857829,1.128671279
pdftex,5,1,1.5,0,1.002695734,1.507396658
geronimo,6652,7,107,1375,1.00068712,1.02344766
acceleo,212,2,6.5,102,1,1.016400351
fontforge,1959,2,26,495,1,1.001039825
melody,2723,4,35,429,1.006083052,1.125322543
movabletype,462,2,7,3,1.000206616,1.023422994
kvirc,2646,5,62,165,1.002899331,1.020189881
jonas,33002,9,186.5,21946,1.001584231,1.13689466
OpenDS,6254,8,49.5,2676,1.000007686,1.040780441
free-download-manager,0,0,0,0,1.000627863,0.987833109
mule,11340,8,212,5187,1.002614809,1.731517244
umbraco,253205,11,506,18801,1.009325398,1.162452901
mariadb,55635,40,420.5,508,1,1.039140662
ecls,1791,1,52.5,293,1.006604763,1.094347932
openlaszlo,2160,4.5,40.5,210,1.032815422,1.025807304
OpenX,357,2,20.5,3,1.000558625,1.053473741
macvim,2271,2,52,487,1.000374132,1.053478046
cinelerra,0,0,0,0,1.000777938,1.007931007
jena,12622,4,100.5,534,1.000340609,1.00293914
warzone2100,13145,7,330,925,1.001200263,1.034611859
dolphin-emu,18222,15,182,755,1.000008515,1.021004574
L2JBrasil,19740,4,77,1070,0.999761631,0.766838776
scilab,134882,15,476.5,5122,1.000638291,1.001082777
eclipselink,24783,18,137.5,9069,1.000820289,1.0989533
openafs,3795,12,108,1250,1.000912522,0.968989219
L2Emu,0,0,0,0,1.004867207,1.098654811
komodoedit,8297,3,146.5,4274,1.008004984,1.106230195
kaltura-ce,0,0,0,0,1.001127164,1.025143697
symbian,1169401,7,64,25383,1,1
adempiere,28575,7,89.5,5972,1.001755756,1.151424092
openbravo,225736,22,431.5,13103,1,1.383064875
kompozer,0,0,0,0,1.007729079,10.46889711
cyanogenmod,1914502,193,4864,305158,1.001228381,1.130234512
ingres,6492,19,78,1305,1.001481575,1.121135566
linux-24,16,2,4,9,1,1
