project,median monthly loc added or changed,median monthly contributors,median monthly commits,median monthly loc growth,median monthly % log growth,median yearly % loc growth
gradle,17475,5,148.5,4806,1.034793452,1.481185599
grails,8999,8,205.5,1777,1.006414139,1.260699149
graphviz,2754,4,56,683,1.001767369,1.056560079
grass_gis,12309,9,244,2499,1.004702681,1.081805919
greasemonkey,150,2,14,11,1.001958356,1.068331898
grep,28,1,5,1,1,1.001476287
groovy,3147,7,95,1777,1.012142256,1.176331099
growl,3065,3,72,117,1.001475646,1.592414762
grub,6646,6,98.5,1488,1.008629268,1.353918487
gstreamer,34532,41,666.5,9375,1.012729994,1.239271425
gtg,2473,5,63,121,1.002156133,2.680503145
gthumb,2339,2,39.5,46,1.002317441,1.05497455
gtk,10473,25,221.5,1542,1.003423538,1.111503517
gtksharp,200,2,10,19,1.000166251,1.069197781
guava-libraries,5610,2,46,2459,1.027913264,2.099690413
gutenprint,718,2,13.5,222,1.001907987,1.062124263
gv,2,1,1,0,1,1.002788418
gwenview,812,3,34.5,298,1.014411933,1.253650179
gwibber,968,3,35.5,95,1.006142506,1.34546284
gwt,14061,13.5,96,5483,1.01666715,1.381970637
gzip,2,1,1,0,1,1
h2database,3230,2,85.5,1220,1.009361563,1.09998295
Hadoop,19239,15,138.5,7501,1.010793029,1.817462611
haiku,57867,19.5,420,13656,1.003878436,1.077271515
hal,12,2,3.5,2,1.002030794,1.05014459
haml,737,3,50.5,110,1.0237599,1.491729884
handbrake,8772,4,152,2869,1.009572018,1.10242951
haxe,788,3,39,375,1.008714138,1.216300661
heidisql,1102,1,34,215,1.008448045,1.220323084
hibernate,7408,8,66.5,2702,1.002543234,1.091158791
hibernate-annotations,395,1,11,93,1.000110392,2.256541325
hibernate-entitymanager,164,1,7,38,1.008528323,2.92779324
hibernate-tools,0,0,0,0,1,1
hibernate-validator,1894,2,28.5,480,1.013595166,1.361166236
hippocms7,3005,7,62,699,1.009888886,1.810718114
homebrew,3139,130,347,1679,1.044908706,2.126091239
horde,47871,8,1141.5,6246,1.010643848,1.225717219
hpricot,0,0,0,0,1,1.073378094
hsqldb,3098,2,37,1031,1.002194255,1.107127355
html5,2077,1,77,436,1.005976346,1.049570705
HtmlUnit,3964,3,94,1135,1.005219026,1.263775222
htop,4,1,1.5,0,1,1.053030303
hudson,3780,8,139.5,1428,1.015016926,1.546282246
hugin,4516,7,69,635,1.006048235,1.20129699
iat,0,0,0,0,1,0.999754018
ibatis,3285,2,26,713,1.004033703,1.340756029
ibus,678,3,28,189,1.003180314,1.148855037
ibus-cloud-pinyin,0,0,0,0,1,1
icinga,53362,8,196.5,3149,1.002471292,1.088106386
imagemagick,13193,3,240.5,1443,1.001851712,1.009278368
impresscms,18693,7,147,36,1.000037828,1.001663301
infozip,0,0,0,0,1,1
infrarecorder,26,1,4,0,1,1.00528564
inkscape,7554,12.5,114.5,1333,1.003424699,1.044302355
innosetup,219,1,27,12,1.000111447,1.147675712
Intellij-IDEA,131962,32,1078,18129,1.013698733,1.235732722
iodine,0,0,0,0,1,1.150849443
iproute2,190,4,10,78,1.001908864,1.05700863
iptables,376,3,11.5,54,1.002484171,1.05794757
ipython,5922,8,102.5,499,1.012140523,1.247747167
ireport,3682,1,11,2669,1.011338863,1.32344783
irssi,4,1,1,0,1.000008035,1.00024908
iterm,0,0,0,0,1,1.024152987
itext,783,3,26.5,221,1.002102619,1.053228217
itk,11858,16.5,196.5,3842,1.005047548,1.173149345
ixthemes,0,0,0,0,1,1.135291821
jack,763,3,32,134,1.002828085,1.175840426
jackrabbit,4102,7,65,1590,1.009720543,1.146436082
jasperreports,3806,3.5,54,1957,1.0092082,1.173381893
javaserverfaces,5228,4,62,2720,1.0073823,1.085127265
jaws,774,1,43.5,166,1.005797722,1.136206061
jax-ws,1489,4,38,958,1.003718577,1.084471066
jaxb,245,2,15,75,1.000524194,1.005031543
jboss,28751,27,297,7636,1.006608531,0.950905608
jboss-drools,51087,11,239,10415,1.016671312,1.22460777
jbpm,15555,6,88,3962,1.010063475,1.200344552
jedit,2484,7,68.5,767,1.004405016,1.073880058
jenkins,80965,50.5,1026,17082,1.021630738,1.509114152
jetty,17115,7,163.5,2338,1.005553684,1.119828951
jfreechart,2,1,1,0,1.00013684,1.055295649
jibx,4108,1,9,434,1.000968872,1.068084814
jinja,48,1,5,9,1.001395349,1.079439358
jmeter,1066,1,50.5,431,1.004063564,1.061322947
jmonkeyengine,9051,5,43.5,1564,1.006740288,1.224930246
joda-time,37,1,3,27,1.00133656,1.031764733
joomfish,532,2,29.5,40,1,1.03289977
joomla,25070,13,406.5,1571,1.002513447,1.133330342
josm,16460,13,230,6635,1.012654411,1.352485602
jQuery,1384,8,56.5,121,1.011258949,1.48594902
jquery-ui,4916,9,93.5,666,1.014193307,1.577962666
jruby,14243,12,207,2885,1.004632989,1.185734768
junit,391,2,11,114,1.001585919,1.118676587
jython,4516,6,51,1205,1.001575298,1.115632967
k3b,356,3,9,8,1.001485661,1.002710013
kaffeine,656,1,9.5,132,1.001003269,1.017577795
kate,2415,14,74,2,1,1.007898551
kcachegrind,15,1,3,5,1.000035494,1.012320622
kde,1843407,385.5,10219.5,195483,1.01259233,1.158631035
kdelibs,12852,66,467.5,2389,1.00481125,1.03925043
kdepim,70275,37,1573,5028,1.004726304,1.06123694
kdesvn,2,1,1.5,0,1.00041181,1.102090998
kdevelop,9890,15,258,1944,1.010825174,1.133627538
kdiff3,0,0,0,0,1,1.014128806
keepass,0,0,0,0,1,1.00242915
keepassx,317,1,7.5,75,1.001225529,1.325737507
kerberos,3489,5,54.5,373,1.001365179,1.045821305
keychain,0,0,0,0,1,1.000539665
kget,345,3.5,13,103,1.003587803,1.262796467
kile,525,3,15.5,88,1.003413328,1.18560014
kino,0,0,0,0,1,1.002926114
kmess,2049,3,37.5,350,1.003398623,1.091538461
kmymoney2,2065,5,46.5,507,1.003342308,1.168759025
ko3,1810,8,97,170,1.007268885,1.174859201
Kohana,1206,3,100,94,1.002025238,1.104034851
kompare,2,1,1,0,1,1.006885549
