projectName,year,month,sum_loc_added,sum_loc_deleted,sum_commits,median_contributors,max_loc_total,sum_abs_loc_growth,prod_loc_growth_factor,age
awesome,2012,12,5052,3587,269,4.,20666,1465,1.07629810947023101768606723178672600924810509103205196537278388047513634957109430366419797524782400831932845329206144701408459339192593297600000,5
github,2008,12,321,337,3,0,3442,-16,0.9953730480050000,0
fvwm,2003,12,26557,16348,328,4.,168879,10209,1.06468843858392902505254808017139879803217446252024967256835056189607745741333822425377650813936193713548153271892374148339536302955938350464000,5
firebird,2001,12,1814417,290527,650,6.,2443184,1523890,2.7516782377140321570561942692836178291571536115095693421038484767119089744499587666207863078559868122706809480242917215317496853820282800865280000,1
HAProxy,2006,12,32222,24820,426,1.,20568,7186,1.5369899864586340061684840829044767519269715262460807959852168171369142886043709495757940050655153856059313408000,0
qemu,2004,12,77902,21945,642,1.,107122,55957,2.0936577739325233091672802897592263955208855239059560915127381178699931534853391510718058047946705599109033844702155052633218240000,1
xine,2003,12,883108,348465,7351,16.,1323267,534643,1.677944115296810820912647579818180522254709825241375136743543791520544889399854446288034028250969012082945425776807851987961116650672640,2
arquillian,2006,12,0,0,0,0.,2,0,1.000000000000,5
rosegarden,2007,12,20626,18310,177,2.5,219548,2316,1.01066141268319061547027859193655942639290835101347514516406951418936699382784413788420099600606080000,6
pywikipediabot,2003,12,10233,5757,703,1.5,5316,4476,6.32857142788133317091088924965747340003766018820546729927040,0
specflow,2009,12,27589,12555,88,2.,26424,11804,1.807387140927090241372,0
jgroups,2012,12,28592,14626,621,3.,115045,12126,1.1178208105407213045354411208206049180078521497941042528959770414562209033840250078567861351973563076591969503837722256842516683951910211840,9
ratpoison,2000,12,3650,2123,65,1.5,2760,1527,2.23844282234874792355961133535865492353868640,0
mapserver,2002,12,28659,15901,613,5.5,55042,12758,1.3017216914072763932143387747593959569773814088635235378908064773128526059424234427591722968767881675982980952399014270546957361140500480,2
grep,2013,12,5,5,9,0,9272,0,1.000,15
ant,2011,12,52309,88023,193,2.5,255206,-35714,0.86003182341534815230371245748712036458745055118966364282271918441692900667792296186983764350444678240921322996920009383880334879657042726400,11
PPI-perl,2008,12,3094,1437,68,1.5,9794,1657,1.2036377043060476760651659616527955105714877085820770556959490780173390374584379197770352275798150297842501228249374720000,2
bluefish,2002,12,52374,26274,460,1,74804,26100,1.5358902759240644504151209373428553506256520363791376918048825072790926833600,0
jack,2012,12,3783,3953,140,0.,126049,-170,0.998652526117262964598775760000000000,11
hazelcast,2011,12,124534,76502,1322,7.,184549,48032,1.3518389651208030091674860135697955826042826451394608471596809144338912333069226954833363564460435768046332208819025149149329430850000,2
grafx2,2011,12,13700,9234,164,2.,61046,4466,1.078932484980908483291738134173639123923525172665776765932605527396714214468562760178018035988089468920121211770871388088839373676673158184960,4
fusionforge,2005,12,85308,41611,1718,6.,172564,43697,1.33908603448889893761624404450896906152984363453094211578341767426290339071341921035433034101942603532501939370559497868131980088934400,4
grok,2011,12,3755,11035,270,2.,20948,-7280,0.7404727104111076767657965781361247885851167114771058706455844136413959923351541221131961801270765885966412603141434309288747457920000,5
wesnoth,2013,12,5095,3587,348,9,319490,1508,1.0047424068030140726287664026226908264,10
selenium-ide,2010,12,0,0,0,0.,11771,0,1.000000000000,4
datanucleus,2010,12,181383,181961,2632,2.,574219,-578,0.998977340484563420783259808385764702919305704293032290109924869186644641994721802722035281871724638009792440602796206225222066519130781706240,2
liquibase,2010,12,22422,17808,639,3.,65123,4614,1.076718433038794755507170722897559208226247867644480799284908473053956768469487667687091749824303697447882785412568091189008450371230843671040,3
comix,2012,12,0,0,0,0.,5880,0,1.000000000000,6
moinmoin,2008,12,379584,320031,1509,5.,112343,24536,1.282500316652903974971016992943342887134778803364511841957774803096417767597588106348974032184887962537136707090389712014526200590065895761920,3
wxmaxima,2011,12,769,333,83,1.,25952,445,1.017446191242834886117623101291215567713670384621250649824785551824754921696028554701484482101141427340318515200000,6
openssl,2013,12,0,0,0,0,423088,0,1.000,14
flowplayer,2011,12,0,0,0,0.,95304,0,1.000000000000,5
pisg,2013,12,0,0,0,0,12143,0,1.000,12
amavisd-new,2009,12,0,0,0,0.,7745,0,1.000000000000,8
amule,2011,12,12209,10248,239,1.,205097,1961,1.00967783327037786875680572156995419008208529734004466445161382264774077339837538211160625083146759260228848075011571774982769252141107763906510254080000,3
WebKit,2012,12,1901919,1160785,35953,166.5,4563721,741134,1.19388283379355132298882708620551067963848134927919658565936886959094471220508483324913220896853235060145338498843001815486858235904000,11
jvcl,2009,12,27842,91318,496,4.,2093280,-63476,0.96973310719129476285251060191127414101265612629131496411450861930166526381223896711932023663732234331497640652293330888255250320672255204065808936309760,7
DownThemAll,2008,12,16391,15377,394,1.,20628,1014,1.0525879058253691927711837058207625372962589567022612396216394930667281762945866604871625270812971482379184354550006045939215595857222433200,2
go,1991,12,0,0,0,0.,7,0,1.000000000000,19
owa,2011,12,28250,27176,439,1.,63494,1074,1.01817074410036026458078379609175750573936514878803600484541708913478871541431286200992193643736414950410430213100054625780169600000,5
php-fpm,2010,12,0,0,0,0.,94080,0,1.000000000000,1
sdl,2007,12,335072,186981,2197,4.,1723494,137513,1.0869485218548389171833295879423284627480919554579255887382654925735964447479753672100303510473749722073903021118558340306348000000,8
openfrag,2007,12,169185,39781,393,4,144631,129404,9.4983253437622776518341718364,0
ant,2009,12,23150,10440,607,4.,259014,12710,1.0516028972345208263487353415439080066470824356703250956744993044446585447775756326446628079914659947602081829951435492076833929711824245825072000,9
vlc,2013,12,11495,9750,563,24,614305,1745,1.00284870053563965584531353405322884944,14
netsurf,2008,12,49670,17912,738,5.5,102914,31758,1.446315138584193024879914126665839618915252620875524275173914143568503078992482153991784209479237232652339698440488679446623186395000000,6
commons-collections,2012,12,166388,156686,444,1.5,161425,9702,1.0639454795865775823841369081997444798255782428979270548178288315185421656334308551737038663361120000000,11
commons-digester,2008,12,2160,2102,180,1.,34446,58,1.00169660094790414704404549298378591946523466327379200000000,7
shorewall,2005,12,202024,499660,1851,3.,2743720,-297636,0.9011929770466384091115195532004123023093507575868423638374493386781680993496061463781899677452412805179404676536262076322657641469189859123200000000,3
geany,2012,12,60180,61701,512,6.5,143179,-818,0.99431932610251948256409931449602608971524177026829547134923109441365301611789136337186805110870174719597980141860540912125210900297062427891424000,7
tapestry,2009,12,98522,68335,907,4.5,652513,30187,1.04850673119810112615837487793410371052696722491702698018196819543538619047212988624890205638728085838752713505985444120783428096000000,3
netsnmp,1999,12,77045,56431,1227,3.5,82164,20614,1.33491470353688765064136395783596423199578645024111507756294935446071355333383711781033648432230317926182328301074160039714131437604000,5
mongodb,2008,12,58844,986935,806,3.,505218,-461667,0.07473404464605403831661414457182106899810134228288148546154301322531358374210602741785803940715958045668026330932860274704411344821256103078133760000,1
simple-invoices,2011,12,6398,6721,134,2.,263875,-323,0.9987691252375846234790903568276512275999699785386580520456627048075552447041597197883842038327702070443760864160000000,5
fluxbox,2009,12,893,817,89,1.5,66778,43,1.0006450354773163987146476885069606854439891900177135558854131063816216440249531087504051793880503114355406199662649716351262948657856795324416000,7
pentaho-reporting,2007,12,151545,8548,167,1.,172488,142997,5.848835237924743063984009251670051331808612320029245868959605946075633348341760000000,5
synfig,2009,12,1346435,12366844,403,2.,6440735,-5508143,0.1439822410828857543316447997886988452345139363542801466209452761183778632896433474945713512306389507752857262719957647684994180875911168000,4
m4,2002,12,578,628,28,0.,103870,-50,0.99951819303114102611175001026522611840000000000,2
mod_wsgi,2012,12,2847,100,57,1.,15094,1150,1.0824727481375933125397876974530343932766446578491029475244791105854026160000000,5
sphinx,2011,12,13757,9619,466,4.5,32577,619,1.01963334179849115942068685490457435846154741988714884641329093710922050392039280595233223253607604582039255008189362640000,4
Macfusion,2013,12,0,0,0,0,8499,0,1.000,6
psycopg,2009,12,2960,872,152,1.,28140,1858,1.070694772087125628200464386218599453922407067369222518017961391880494179362660473800929786314240000,5
gzip,2000,12,128,7,6,0.,6156,121,1.020049710025350542200551674145483502423256941014000000000,7
merb,2010,12,2057,5848,137,2.,178972,-3890,0.9782522404691861673390165954025035894827084794188755410771411047911749645268382322396632891743986611331331416195440000000,2
suricata-engine,2010,12,178282,67352,1309,8.5,207525,110572,2.14047012462981868246784309809970724308132386571031435949409186643271462839836499893563596387923573944378774312658600389430254387200,2
guile,1998,12,17566,10986,506,2.,64387,6580,1.1138270451651763379812728286353394633676458077840709217784475332310813846894651909496819702611765073547212422821279670819537279707943595409408000,2
silverstripe,2010,12,49893,28805,6751,12.5,113729,8791,1.0841324528661679299618693968593028308667592422100362051636574372858351475695169555792544057884321334183169013740421210136502149255155200,3
aptitude,2008,12,76972,36897,1208,2.5,82485,9449,1.129374555023463671642638175557104496981531841103464566997064827445823068567555819606242691840000000,9
hugin,2004,12,93437,71406,550,1.,66535,22031,1.4950341541521002858694714771022795043268782602169249011502945959309462216463710520791300057100382528465445363200,1
vim,2010,12,60878,44436,1035,2.,1704116,16328,1.0096742007889551230660247515839730406773560076381646365438461218470040613618997799615710105278149498380464738313069347534820236251484336896000,10
dvdrtools,2013,12,0,0,0,0,95824,0,1.000,11
gwt-platform,2012,12,64582,64733,301,0.,47585,-7654,0.83747053699984586618046638593131754629123426452525890003200000000,2
offlineimap,2009,12,3243,4361,34,1.,5693,107,1.02427404717560286262956850486149170487956378109731269763727095997748696682503634580000000,7
nifty-gui,2010,12,198883,103705,1142,2.,219529,78748,1.5593652552132803869255294811490342993974740354481518741782764974348809055165008799538698744559997562656910997719699149848523121812480000,2
tika,2012,12,15176,5142,330,4.,56957,10034,1.213839694827664372629241900649463078189767515852306856542503869969665403833637883116538258938233936998496093222521208946893461997289472000,5
webadmin,2007,12,26728,10655,684,2.,367563,16073,1.04572818572491556192529868220760814711066672139062605120211859192730920781555347194886025192000,0
