projectName,age,status,yearOfEvent
eclipse-jdt,11,1,2012
gedit,14,1,2012
redis,3,1,2012
etckeeper,5,1,2012
scalacheck,5,1,2012
amule,4,1,2012
bittorrent,4,2,2005
openssl,13,1,2012
xcache,6,1,2012
graphviz,7,1,2012
tint2,4,1,2012
freerapid,4,1,2012
quantaplus,12,1,2012
coreboot,9,1,2012
wsdl4j,10,2,2011
websvn,8,1,2012
webob,5,1,2012
docky,3,1,2012
flotr,4,1,2012
taglib,8,1,2012
ScrewTurnWiki,3,1,2012
Gallio,5,1,2012
bacula,10,1,2012
freeelks,8,1,2012
kpdf,5,2,2010
grub,9,1,2012
phpbb,11,1,2012
virtuawin,12,1,2012
sqlite-ruby,2,2,2006
nemiver,6,1,2012
objectify-appengine,3,1,2012
tuscany,6,1,2012
apache,16,1,2012
mojomojo,7,1,2012
gnumeric,14,1,2012
openbox,10,1,2012
racket,8,1,2012
bos,8,1,2012
annas-graph,4,1,2012
drizzle,4,1,2012
cspspemu,1,1,2012
ghc,16,1,2012
eyeos,5,1,2012
rubygems,8,2,2011
bzr-gtk,7,1,2012
pymvpa,5,1,2012
kompare,7,1,2012
swt,11,2,2012
jnode,9,1,2012
dvdrtools,5,2,2007
kmess,9,1,2012
pyamf,5,2,2012
obm,10,1,2012
lithium,3,1,2012
phpgedview,6,1,2012
xml-copy-editor,5,2,2012
yafray,5,2,2011
autohotkey,7,2,2010
djbdns,9,2,2012
opensso,6,1,2011
rsync,16,1,2012
commons-email,8,1,2012
mako,6,1,2012
torcs,10,2,2011
estudy,4,1,2012
moinmoin,7,1,2012
tcllib,14,1,2012
zope3,13,1,2012
lives,8,1,2012
grails,7,1,2012
adempiere,6,1,2012
symfony,7,1,2012
lutece,6,1,2012
mongrel,3,2,2009
zope,16,1,2012
midori,4,1,2012
intellij-idea-plugins,7,1,2011
clamwin,7,2,2012
openproj,5,1,2012
concretecms,4,1,2012
bash,16,1,2012
ibus-cloud-pinyin,1,2,2011
couchdb,4,1,2012
fura,2,2,2010
freshmeat_asterisk-java,7,2,2011
rvm,3,1,2012
console,7,2,2012
degrafa,3,2,2011
wicd,5,1,2012
dotproject,10,2,2011
cdt,10,1,2012
marble,6,1,2012
qgit,6,1,2011
knockoutjs,2,1,2012
toxiclibs,5,1,2012
swfdec,9,1,2011
debian,16,1,2012
habari-extras,4,1,2012
jsdoc-toolkit,5,1,2012
maven1,7,2,2009
scite,12,1,2012
beanshell,3,2,2008
geos,10,1,2012
totem,10,1,2012
portableapps,5,1,2012
geeklog,11,1,2012
smf,0,1,2012
nclass,3,1,2012
ganttproject,9,1,2012
velocity,12,1,2012
geomajas,5,1,2012
pfSense,8,1,2012
tar,22,1,2012
conemu-maximus5,1,1,2012
bricolage,11,1,2012
neurodebian,3,1,2012
l2jfree,6,1,2012
Nexus,4,1,2012
port389,7,1,2012
windowmaker,14,1,2012
w3m,11,1,2012
wicket,8,1,2012
openjdk,4,1,2012
zxing,5,1,2012
opproject,5,2,2012
commons-pool,4,1,2012
typo3,9,1,2012
emma,3,2,2007
docblox,2,1,2012
rome,7,1,2011
kismet,10,1,2012
html5,3,1,2012
liftweb,5,1,2012
madwifi,9,1,2012
activiti,2,1,2012
imagemagick,3,1,2012
xemacs,11,1,2012
flourish,5,1,2012
jobsworth,5,1,2012
web2project,4,1,2012
webdriver,2,1,2012
ossim,11,1,2012
psutil,4,1,2012
servicemix,4,1,2012
telepathy,7,1,2012
padre,4,1,2012
nagvis,7,1,2012
pkgsrc,15,1,2012
statcvs,9,2,2011
feh,2,1,2012
etoile,8,1,2012
hippositetoolkit,4,1,2012
filehelpers,6,1,2012
mapserver,12,1,2012
thunderbird,14,1,2012
monodevelop,8,1,2012
swfmill,7,1,2012
tiopf,6,1,2012
kupu,9,2,2012
SHR,4,1,2012
epiphany,9,1,2012
spock,3,1,2012
nlog,8,1,2012
viewvc,12,1,2012
strongswan,7,1,2012
rygel,4,1,2012
iat,2,2,2011
rakudo,6,1,2012
bogofilter,10,1,2012
tcpdf,3,1,2012
milkthecow,4,2,2012
quicksilver,3,2,2010
cglib,10,1,2012
planeshift,11,1,2012
jokosher,6,1,2012
jython,14,1,2012
gawk,2,1,2012
kicad,5,1,2012
jackrabbit,8,1,2012
tao,15,1,2012
libphobos,5,1,2012
powertop,2,1,2012
apache-ode,5,1,2012
ehcache,6,1,2012
dbmail,11,1,2012
ndiswrapper,9,1,2012
librefm,3,1,2012
transifex,4,1,2012
sparkviewengine,4,1,2012
geany,7,1,2012
rxvt,11,2,2009
p4155,6,1,2012
vegas,6,1,2012
linux-pam,12,1,2012
jtds,8,1,2012
konsole,14,1,2012
unixodbc,11,1,2012
midgard,6,1,2012
sqlalchemy-migrate,4,1,2012
stackless,22,1,2012
nancyfx,2,1,2012
ratpoison,12,1,2012
dtango,6,1,2012
notmuch,3,1,2012
qtwitter,4,1,2012
pyunit,4,2,2004
openshot-video-editor,4,1,2012
statusnet,4,1,2012
docutils,10,1,2012
remind,16,1,2012
x,13,1,2012
evince,13,1,2012
struts2-jquery,3,1,2012
skype4pidgin,5,1,2012
virtualdubmod,6,1,2008
wxpython,5,1,2012
gupnp,6,1,2012
kmymoney2,11,1,2012
sourcemage,10,1,2012
